name,created,origin,type,status,targetReference,businessCriticality,lifecycle,environment,tags,repoName,testFrequency,lastTestedDate,browseUrl,issues_low,issues_high,issues_medium,issues_critical,pullRequestFailOnAnyVulns,pullRequestFailOnlyForHighSeverity,pullRequestFailOnlyForIssuesWithFix,pullRequestInheritance,pullRequestTestEnabled
docker-image|ghcr.io/snyk-playground/snyk-sync,2021-12-09T15:11:39.011Z,cli,deb,active,docker-image|ghcr.io/snyk-playground/snyk-sync,[],[],[],[],ghcr.io/snyk-playground/snyk-sync,daily,2022-02-11T04:26:37.575Z,https://app.snyk.io/org/angrydome/project/460fe6d9-a2b6-4e90-9a7d-6cf26ccd3f0e,41,8,1,8,,,,,
package-file-basic,2021-12-02T14:34:58.087Z,cli,npm,active,,[],[],[],[],snyk-playground/custom-snyk-action,daily,2022-02-11T04:12:55.381Z,https://app.snyk.io/org/angrydome/project/02def66d-d290-43d0-af02-5ebe1186dc44,0,0,0,0,,,,,
Jenkins-Example:second_projects/package.json,2021-12-01T13:12:01.760Z,cli,npm,active,,[],[],[],[],mrzarquon/Jenkins-Examples,daily,2022-02-11T04:09:02.750Z,https://app.snyk.io/org/angrydome/project/a482e312-0968-4283-b5fa-4b9d3c7c1732,0,0,0,0,,,,,
Jenkins-Example:package.json,2021-12-01T12:53:17.565Z,cli,npm,active,,[],[],[],[],mrzarquon/Jenkins-Examples,daily,2022-02-11T04:09:01.551Z,https://app.snyk.io/org/angrydome/project/b1cdb138-7d2f-421a-a208-2421a5e72693,0,0,0,0,,,,,
Jenkins-Example-Project-01,2021-12-01T12:52:34.744Z,cli,npm,active,,[],[],[],[],mrzarquon/Jenkins-Examples,daily,2022-02-11T04:08:59.466Z,https://app.snyk.io/org/angrydome/project/5aab932d-7f43-4f97-bf44-bbee98ad7f2c,0,0,0,0,,,,,
package-file-basic,2021-12-01T10:48:03.758Z,cli,npm,active,,[],[],[],[],mrzarquon/Jenkins-Examples,daily,2022-02-11T04:09:00.213Z,https://app.snyk.io/org/angrydome/project/10e74cc1-93fc-4577-a278-3e85b3d5fce6,0,0,0,0,,,,,
app,2021-10-26T08:53:13.304Z,cli,yarn,active,,[],[],[],[],TomFern/semaphore-demo-monorepo-javascript,daily,2022-02-11T03:08:19.606Z,https://app.snyk.io/org/angrydome/project/1a723791-5d8c-4170-a66b-1d0de960626e,0,0,0,0,,,,,
pysnyk:pyproject.toml,2021-10-25T09:26:45.724Z,cli,poetry,active,,[],[],[],[],12341234/snyk-bulk,daily,2022-02-11T03:06:29.365Z,https://app.snyk.io/org/angrydome/project/7b31dbd9-26d6-4565-8c87-636b12f8e178,0,0,2,0,,,,,
pysnyk:pyproject.toml,2021-10-25T09:10:13.092Z,cli,poetry,active,,[],[],[],[],:snyk-tech-services/snyk-bulk,daily,2022-02-11T03:06:30.487Z,https://app.snyk.io/org/angrydome/project/55afc2c3-cbd8-4181-adf8-33d9e48cbab6,0,0,2,0,,,,,
pysnyk:pyproject.toml,2021-10-25T08:59:23.054Z,cli,poetry,active,,[],[],[],[],/:mrzarquon/angrydome/testing/nightmare.git,daily,2022-02-11T03:06:29.601Z,https://app.snyk.io/org/angrydome/project/19c0e5e2-96aa-4698-b2de-0ef4c12ce436,0,0,2,0,,,,,
pysnyk:pyproject.toml,2021-10-22T09:29:24.555Z,cli,poetry,active,,[],[],[],[],/:mrzarquon/angrydome/wtf/nightmare.git,daily,2022-02-11T03:03:05.868Z,https://app.snyk.io/org/angrydome/project/40750e42-0dcc-4f8c-b041-da5680e16629,0,0,2,0,,,,,
pysnyk:pyproject.toml,2021-10-22T09:22:50.803Z,cli,poetry,active,,[],[],[],[],/nrd/onp.git,daily,2022-02-11T03:03:18.139Z,https://app.snyk.io/org/angrydome/project/9e9a6ae1-5cf5-45f3-9ff4-63f602f8463c,0,0,2,0,,,,,
cmbarker/container-test:Dockerfile,2021-10-05T13:25:40.080Z,gitlab,dockerfile,active,main,[],[],[],[],cmbarker/container-test,daily,2022-02-11T02:32:13.796Z,https://app.snyk.io/org/angrydome/project/cbcc7f2f-7b86-4250-94ca-462554f40e25,0,0,0,0,False,False,False,integration,False
mrzarquon/snyk-container-test:latest,2021-10-05T13:21:45.299Z,gitlab-cr,rpm,active,latest,[],[],[],[],mrzarquon/snyk-container-test,daily,2022-02-11T02:32:17.678Z,https://app.snyk.io/org/angrydome/project/aa2b9172-661c-4d1f-a836-f88ac77e5f7a,4,0,28,0,,,,,
repo_diff:pyproject.toml,2021-10-04T14:40:37.102Z,cli,poetry,active,,[],[],[],[],snyk-tech-services/snyk-repo-diff,daily,2022-02-11T02:30:31.379Z,https://app.snyk.io/org/angrydome/project/f93683e4-1371-4486-944e-6ef2c44fc2a2,0,0,0,0,,,,,
audit-issues:pyproject.toml,2021-10-04T14:37:21.716Z,cli,poetry,active,,[],[],[],[],mrzarquon/asdf,daily,2022-02-11T02:30:43.228Z,https://app.snyk.io/org/angrydome/project/e24da088-37a8-4dee-bfe5-00e798a55cf1,3,0,0,0,,,,,
audit-issues:pyproject.toml,2021-10-04T14:36:26.179Z,cli,poetry,active,,[],[],[],[],audit-issues:pyproject.toml,daily,2022-02-11T02:30:35.704Z,https://app.snyk.io/org/angrydome/project/f073a33d-2988-46d7-9a39-08fc10ff0bd9,3,0,0,0,,,,,
docker-image|repo_diff,2021-09-24T10:49:09.817Z,cli,deb,active,docker-image|repo_diff,[],[],[],[],repo_diff,daily,2022-02-11T02:18:31.873Z,https://app.snyk.io/org/angrydome/project/2f244ea1-89e8-426d-8fd0-5ae0504dc8a7,41,8,2,8,,,,,
sync,2021-11-10T14:52:19.199Z,cli,pip,active,,[],[],[],"[{'key': 'foo', 'value': 'bar'}]",snyk-playground/snyk-sync,daily,2022-02-11T03:32:27.842Z,https://app.snyk.io/org/angrydome/project/691d88fa-d617-4b1f-a3ab-b68b67def487,0,0,0,0,,,,,
snyk-sync:pyproject.toml,2021-09-10T11:13:10.627Z,cli,poetry,active,,[],[],[],"[{'key': 'foo', 'value': 'bar'}]",snyk-playground/snyk-sync,daily,2022-02-11T01:55:42.383Z,https://app.snyk.io/org/angrydome/project/04db8b99-be2a-4ba1-859b-e4bceb0944e9,0,0,0,0,,,,,
docker-image|snyk-bulk,2021-09-09T09:35:35.711Z,cli,deb,active,docker-image|snyk-bulk,[],[],[],[],snyk-bulk,daily,2022-02-11T01:53:00.691Z,https://app.snyk.io/org/angrydome/project/f1f3024b-b5cb-4463-808a-e84bbbdc9e62,79,24,11,8,,,,,
docker-image|snyk/broker,2021-09-09T09:26:13.411Z,cli,deb,active,docker-image|snyk/broker,[],[],[],[],snyk/broker,daily,2022-02-11T01:52:58.684Z,https://app.snyk.io/org/angrydome/project/8a195069-4a4e-4779-af27-0ca72ab1511a,23,0,14,0,,,,,
snyk-watcher:pyproject.toml,2021-08-31T16:26:18.569Z,cli,poetry,active,,[],[],[],[],snyk-watcher:pyproject.toml,daily,2022-02-11T01:41:42.916Z,https://app.snyk.io/org/angrydome/project/d2bb2d5e-dfec-4847-9080-59f609c5273a,0,0,0,0,,,,,
snyk-tech-services/snyk-bulk-app2/setupfiles/setup.py:setup.py,2021-08-04T14:53:42.307Z,cli,pip,active,,[],[],[],[],snyk-tech-services/snyk-bulk-app2,daily,2022-02-11T01:06:05.887Z,https://app.snyk.io/org/angrydome/project/9479eaaa-8269-46b7-a299-e63afec92d98,0,3,2,1,,,,,
snyk-tech-services/snyk-bulk-app2/nested/setupfiles/setup.py:setup.py,2021-08-04T14:53:37.020Z,cli,pip,active,,[],[],[],[],snyk-tech-services/snyk-bulk-app2,daily,2022-02-11T01:05:49.731Z,https://app.snyk.io/org/angrydome/project/01b56b29-855a-4560-a6bd-4ba816dd21ee,0,3,2,1,,,,,
snyk-tech-services/snyk-bulk-app2/reqfiles/requirements.txt,2021-08-04T14:53:31.460Z,cli,pip,active,,[],[],[],[],snyk-tech-services/snyk-bulk-app2,daily,2022-02-11T01:05:48.775Z,https://app.snyk.io/org/angrydome/project/428cda08-53f2-494a-8c91-c58334ea926a,0,3,2,1,,,,,
snyk-tech-services/snyk-bulk-app2/nested/reqfiles/requirements.txt,2021-08-04T14:53:26.181Z,cli,pip,active,,[],[],[],[],snyk-tech-services/snyk-bulk-app2,daily,2022-02-11T01:05:51.405Z,https://app.snyk.io/org/angrydome/project/3a81bf0f-8f45-4638-87d6-7e79a4283ab0,0,3,2,1,,,,,
